,101 FW,101 TC,101 TW,102 FC,102 FW,102 TC,102 TW,103 FC,103 FW,103 TC,103 TW,104 FC,104 FW,104 TC,104 TW,105 FC,105 FW,105 TC,105 TW,110 FC,110 FW,110 TC,110 TW,111 FC,111 FW,111 TC,111 TW,112 FC,112 FW,112 TC,112 TW,113 FC,113 FW,113 TC,113 TW,114 FC,114 FW,114 TC,114 TW,124 FC,124 FW,124 NB FC,124 TC,124 TW,125 FC,125 FW,125 TC,125 TW,126 FC,126 FW,126 TC,126 TW,127 FC,127 FW,127 TC,127 TW,128 FC,128 FW,128 TC,128 TW,101 FC,201 FC,201 FW,201 TC,201 TW,202 FC,202 FW,202 TC,202 TW,203 FC,203 FW,203 TC,203 TW,204 FC,204 FW,204 TC,204 TW,205 FC,205 FW,205 TC,205 TW,210 FC,210 FW,210 TC,210 TW,211 FC,211 FW,211 TC,211 TW,212 FC,212 FW,212 TC,212 TW,213 FC,213 FW,213 TC,213 TW,214 FC,214 FW,214 NB FW,214 TC,214 TW,215 FC,215 FW,215 TC,215 TW,216 FC,216 FW,216 TC,216 TW,217 FC,217 FW,217 TC,217 TW,218 FC,218 FW,218 TC,218 TW,219 FC,219 FW,219 TC,219 TW,226 FC,226 FW,226 TC,226 TW,227 FC,227 FW,227 TC,227 TW,228 FC,228 FW,228 TC,228 TW,229 FC,229 FW,229 TC,229 TW,230 FC,230 FW,230 TC,230 TW
CAR 16:0+_1209,0.089168109,0.001526554,0.41576378,0.320315437,0.318062353,0.306277628,0.666370996,0.669200304,0.871711261,0.76084678,0.905249003,-1.341818115,0.036874033,-1.067443485,-0.014393255,0.331576473,0.361753449,0.307643419,0.439516781,-1.30427721,0.758541395,0.056390229,0.159252563,-1.056205839,-1.011382019,-0.941943402,-1.020890158,0.661788377,1.240639492,0.451943748,1.081073637,0.427151677,0.324972235,0.247148425,0.562875305,0.065792662,0.112097889,-1.235351409,-0.012145052,-0.033770199,0.347722081,0.356818385,0.03855556,0.460269052,0.037826678,0.156018497,0.057631468,0.385756757,0.418526652,0.848532196,0.618946561,0.705296918,0.743702594,0.38849239,0.62051569,0.496802227,0.604557199,0.583282333,0.533174926,0.595885968,0.109340196,0.141309639,0.699580377,0.273052325,0.418119355,-1.306847176,0.195203691,-1.157413207,0.031190239,0.493568368,0.317391637,-0.973344852,-1.030853393,-1.084441117,0.097153943,-1.074482173,0.199069568,0.195969028,0.14491328,0.228162549,0.239746925,0.632482321,0.504888885,0.228844675,0.333897768,-1.194792264,0.449272331,-1.090604091,0.260211889,0.172673459,0.326299313,-0.992260666,0.107637907,-0.401871108,0.337322436,-0.872010052,0.386293001,0.001951083,0.200778319,0.835930193,0.015198333,0.234873565,0.180512657,-1.118065556,-0.095638828,0.01569107,-0.363778997,-0.085578375,-1.169757583,0.055378257,0.295556588,0.371953101,0.276259456,0.592620563,0.076535563,0.349452506,-0.173743428,0.519558588,-1.280000444,-0.087125308,-1.020471772,-1.054503715,-1.287845306,-1.082700854,-1.252485561,-1.095910242,0.185039791,0.588525899,-0.76626999,0.413713872,-1.060948771,0.347552548,0.107766369,0.379641346,-1.28552164,0.316216212,-0.853682459,0.005575614,0.112674444,0.347714327,-1.186598272,0.239063843
CAR 18:0+_1077,-1.2174811,-1.30159887,-1.21215226,0.53813037,0.22384733,0.68843011,0.62890941,0.59346904,0.45641629,0.60283464,0.55314972,-0.17093667,0.12529237,-1.10268861,-1.15369632,0.60039531,0.34276567,0.35093482,0.42494644,-1.33987956,-1.09251164,-0.09139422,-1.18961679,-1.09143428,-1.04654406,-0.97700305,-1.05606626,0.3609633,0.28506121,0.29791905,0.4638765,0.69784325,0.31799629,0.38181053,0.58469447,0.11076795,-1.00780778,-0.03000565,0.09698203,0.28005061,-1.06704565,0.16375061,-1.07214713,-0.99014364,-1.35107713,-0.12012812,-1.13247964,-1.11172247,0.2795247,-0.95474271,-0.97145621,0.11093589,0.81780502,-1.1812383,0.67988231,0.38411361,0.38410221,0.11427167,0.42262656,0.28696033,-1.38871802,0.39803677,0.48131654,0.45222255,0.38638341,-1.34245348,-1.04975338,-1.19279269,-1.11128193,0.85461478,0.29148946,0.24290542,0.08155608,0.12291412,-1.09471763,0.25800284,0.09760558,0.56165967,0.17102918,0.62728956,0.24903573,0.4260424,0.27467285,0.38308749,0.34410486,0.06415891,0.24625605,-1.12588368,0.20823237,0.38633869,0.28478648,0.28265268,0.18814628,0.16009772,0.45384062,0.49596297,0.63685711,0.29997229,0.28542569,-0.76459313,0.69103952,0.4841337,0.6781174,0.24405176,0.38140533,0.45348836,0.04224856,-0.01875751,0.18773806,0.14184265,0.6416434,0.44846128,0.69075601,0.60374736,0.56739146,0.1698965,0.59468009,0.11930311,0.12081505,0.03441517,0.25621053,0.30088603,0.16781116,-1.11796867,0.23987178,0.09019187,0.67444039,0.89837477,0.53445661,0.50016927,0.20497436,0.12588222,0.23614694,0.19894058,0.02870865,0.06800261,-0.88861266,0.08923362,0.39836412,-1.09792871,0.20418187,0.3662807
CAR 20:0+_927,0.039225733,0.412358584,-1.485487839,0.41202191,-0.10330341,0.596608614,0.177170082,0.467457291,0.312285923,0.462667586,0.37650348,-0.166217124,-0.159480624,-0.169019421,-0.174633975,0.736850117,0.06035746,0.483744953,0.332514823,0.094835448,-1.359481211,-0.458725041,-1.461753374,-0.103684092,-1.311067397,0.037150588,-1.321096349,0.529842888,-0.117468878,0.361790439,0.435122468,0.633012989,-0.138372535,0.33862263,0.670841733,0.152071973,-0.068347824,-0.109547591,0.003926998,0.219172508,-1.332660035,0.074710737,0.286819011,-1.251665364,0.126972422,-1.469550414,0.187336919,0.031667721,0.334506646,0.198580687,-1.231983349,0.027088098,0.906656837,0.117082392,0.880489963,0.3442127,0.295619272,0.029562943,0.346157767,0.227285788,0.143277014,0.353091328,0.187909231,0.411167997,0.171198009,-1.622720467,-1.314447517,-1.465098247,-1.379250345,0.850877508,0.024334794,0.457456133,0.016652845,0.056638433,-1.361804594,0.13321994,-0.19357218,0.485917277,0.009253532,0.65773593,0.086318499,0.408343742,0.360415405,0.417711053,0.262311262,0.04874182,0.107381129,0.0738534,-0.013319963,0.22447554,-1.277414671,0.092390019,-0.009945987,0.048588064,0.22220263,0.433423712,0.326024204,0.365760569,0.221877761,-1.014109536,0.600912716,0.347350963,0.631272519,0.166377471,0.419508567,0.281621513,-0.027399089,-0.287742102,0.008569748,-0.146136146,0.535491227,0.316232234,0.60050287,0.449374951,0.359447454,-0.102049065,0.584508401,-0.303075439,-0.049031517,-1.489713703,0.126871195,-0.073221226,-0.356689258,-1.386292905,-1.56537978,-1.400225912,0.600087223,0.890896676,0.646114856,0.644179879,0.251361425,0.043814021,0.194708352,0.032595916,0.132703578,-0.029595678,0.34737059,0.322144727,0.35832744,0.055984636,0.214658527,0.279335601
Cer 34:1+_814,-0.457954149,-0.248618242,-0.32452016,-0.152984901,-0.412706168,0.180330165,-0.251481503,-0.023224338,-0.50309311,-0.233005406,0.049143028,0.252992717,0.407089785,0.924426036,0.176898817,0.019832063,-0.181862987,0.212688215,-0.053836382,2.263377735,1.08010782,1.479555057,0.556872057,-0.086883633,-0.266235937,0.00149791,-0.341538981,0.128483427,0.113816483,0.216765416,0.245221407,-0.167721814,-0.275252202,-0.223323305,-0.069699337,0.206948548,-0.152760382,0.189451346,-0.132175581,-0.480587006,-0.421115474,-0.405043246,-0.252000568,-0.227808148,-0.148873062,-0.256043387,0.263301507,0.004774379,-0.064786421,0.046340034,0.306672053,-0.00736331,0.523171979,-0.321556996,0.255608387,-0.052111387,0.149494807,-0.288521172,0.46787355,-0.012451431,-0.414815632,0.345366445,0.108433159,0.237122487,0.06656864,-0.49052463,-0.126128609,0.03031554,-0.112959526,0.196023817,-1.829015426,0.315970695,-0.214767529,-0.032247575,-1.897499721,-0.028990962,-0.43461443,-0.046864123,-0.225698151,0.52378242,-0.058291766,0.352512822,0.188200748,0.093475687,0.029931261,0.548760782,0.098836234,1.216289218,0.452475288,0.234059899,-0.360504075,0.081158146,0.049367285,0.101550811,0.296042585,0.910167122,0.39677612,-0.116880225,-0.286932115,0.144399039,0.102464903,0.116589465,0.186968259,-0.349334494,-0.012819711,-0.029494817,-0.521802701,-0.501991659,-0.29127274,-0.420717263,-0.44715825,-0.303482011,-0.27065919,-0.181635724,-0.620996929,-0.611352527,-0.28303525,-0.604132749,-0.670430151,-0.643852737,-0.073106049,-0.050004516,-0.189318724,-0.332000228,-0.143173718,-0.358405328,-0.239373461,-0.247078906,0.662468731,0.12630872,1.23277373,0.16350685,1.742857939,0.387211399,-0.149899109,-0.23696409,0.420429986,0.039300642,0.019647831,-0.132611077,0.11026281,0.038866484
Cer 36:2+_212,-0.858864755,0.050523547,-0.267114375,0.107588751,-0.791853148,0.582421781,-0.102461396,0.295282919,-0.915619435,0.125896977,0.042944242,0.625799151,-0.074484598,1.194831692,0.507295887,0.474932129,-0.710213184,0.672339664,-0.168346885,1.62905549,0.525856134,1.337174099,-0.067554719,0.452044079,-0.584106365,0.532319777,-0.150311511,-0.860192447,-1.195191483,-0.68976475,-0.868645605,0.124207592,-0.687785747,-0.028417302,0.126801157,0.609908396,-0.362072017,0.397955282,-0.1602961,-0.226834961,-1.012499719,0.208379123,0.096086729,-0.720047885,0.267977888,-0.230561901,0.679855048,0.088572139,-0.008992614,-0.613768938,0.461016514,-0.574823968,0.532118208,-0.84722574,0.474476564,-0.099580592,0.466929576,-0.445820855,0.796669955,-0.491085951,-0.241932668,0.581408169,-0.258780337,0.591426995,0.0088562,-0.172488246,-0.630386752,0.457571868,0.311576789,0.165795335,-0.770221788,0.568087998,-0.510255208,0.378135278,-0.946890991,0.441361143,-0.362402454,0.154452768,-0.634776131,0.576391454,-0.408278181,0.318294824,-0.542807563,0.459688283,0.089917527,0.596645992,-0.159702722,1.021878634,0.173012241,0.739607498,-0.674620546,0.47700755,-0.117254561,0.380236787,0.141960371,1.197053241,0.187139567,-0.366499251,-1.082207415,-0.041282726,-0.135939771,-0.235739005,-0.06665973,-0.581029928,0.173156166,0.124566514,0.077278508,-0.71818283,0.265359639,-0.525977284,-0.184044697,-0.897181742,0.01400498,-0.518485379,-0.29357044,-0.55988775,-0.026086542,-0.774894172,-0.252465982,-1.060665175,0.525830777,0.439411988,0.223796919,-0.941602888,0.476750097,-0.699634009,0.098162434,-0.839550025,1.064788242,0.2710262,1.349850523,-0.287994763,1.577933924,-0.15741851,0.35538445,-0.401049226,0.971221803,0.485747037,0.229290784,-0.398761974,0.370249101,-0.306428783
Cer 40:1+_520,0.4986863,-0.55995239,-0.04354167,-0.67281159,0.16987085,-0.4836238,0.10847774,-1.07869834,0.06850746,-0.57245155,-0.36055225,-0.62652063,0.19325797,-0.12024088,0.19782497,-0.34198605,0.10308608,-0.69078735,-0.05885694,1.13694702,0.85900116,0.60361029,0.6881394,-0.191092,0.12037335,-0.1483554,-0.06116428,-0.56905391,0.11192056,-0.18909468,0.0116351,-0.47732056,0.29534483,-0.49565788,0.01914244,-0.45273354,-0.22661416,-0.30578955,-0.06760687,-0.5731137,0.64807394,-1.00212822,-0.73402357,0.40231534,-0.49436051,0.46681259,-0.2413442,0.37408339,-0.59588962,0.30378288,-0.3799664,-0.10859311,-0.30825099,-0.27735868,-0.40412297,-0.275994,-0.68371978,-0.05816484,-0.18435107,0.42801134,-0.61988744,-0.22325644,0.22773183,-0.22404371,0.04880167,-0.33942266,0.68312643,-0.09422306,0.28228601,0.15720082,0.5146285,0.22671559,0.44452363,-0.40662014,-0.0405035,-0.22653186,-0.0898791,-0.27103774,0.65069513,0.02203527,0.63719297,0.27816606,0.81703797,-0.0783618,0.43365271,-0.26825456,0.2757994,0.27476411,0.27170845,-0.38088791,0.55470804,-0.14305037,0.21789256,-0.36037613,0.45647493,0.47308613,0.69342846,0.04299502,0.70385279,0.21623705,-0.26290834,0.32124663,-0.3374377,0.46897691,-0.12549393,0.13014311,-0.64230244,0.64443103,-0.44862644,0.54794454,-0.76141652,0.61024739,-0.60531026,0.4352807,-0.58309369,0.27961703,-0.55604275,0.41157168,-0.28914903,0.84631125,-0.08582776,0.36968005,-0.43468966,0.67725858,-0.07511988,0.56771946,-0.35435192,0.29910669,0.27716857,-0.14862826,0.49090197,0.37814783,0.54091459,0.47224201,-0.83840191,0.43105478,-0.0303731,-0.0728502,-0.54201886,0.07337638,-0.52692379,-0.08379691
Cer 41:2+_432,0.628305134,-0.907232132,0.188103011,-0.465708406,0.573097943,-0.935298436,0.514927679,-0.890015651,0.460625034,-0.769626564,0.195558637,-0.729320643,0.697494699,-0.401600972,0.262778975,-0.904769014,0.497352661,-2.036907059,0.34011434,0.371520537,1.139452708,0.607039096,1.186135324,-0.061642508,0.53914113,-0.387833316,0.331980721,0.009756687,0.997310386,-0.137902515,0.761806703,-0.592046084,0.740294908,-0.627536938,0.226439026,-0.600594712,0.45341232,-0.538930385,0.245299476,-0.492900692,0.842599326,-0.968124373,-0.681962257,0.841808998,-0.139211441,0.755655014,-0.310956958,0.715063187,-0.607040505,0.629871651,-0.481437981,0.393642411,-0.359967194,0.259340099,-0.501665418,0.064938336,-0.122244811,0.745386003,-0.457977158,0.93958079,-0.467706959,-0.867944545,0.645783835,-0.524536539,0.082134191,-0.18713295,0.83220975,-0.567708663,0.252972336,-0.2405273,0.516839261,-0.502907026,0.418413255,-0.609695941,0.362703841,-0.528619675,0.180161309,-0.290618713,0.699638321,-0.731606122,0.646300484,0.117425606,0.675515104,-0.836836464,0.289407506,-0.125967023,0.517451303,-0.281463008,0.572366124,-0.634916351,0.397417047,-1.885416807,-0.08475553,-0.98141951,0.500969374,-0.351546956,0.722871629,0.236047904,0.907149251,0.560318549,-0.401942529,0.537987466,-0.653594127,0.636387475,-0.799064472,0.182220459,-0.683193288,0.722658251,-0.718002709,0.641684847,-0.641542768,0.794503391,-0.981371992,0.663479317,-0.522109055,0.533651705,-0.844477596,0.593033049,-0.153283564,0.742806333,-0.54531801,0.36979261,-0.56058965,0.743345049,-0.800271012,0.63308761,-0.406989616,0.378142798,-0.548920692,-0.136343515,-0.366557199,0.685932546,-0.332388473,0.813086123,-0.756592453,0.686426873,-0.485434763,-0.024840538,-0.412613395,0.390244732,-0.765402057,0.31422412
Cer 42:2+_243,0.57106275,-0.51794423,0.41352064,-0.19209708,0.36976584,-1.1317031,0.47508802,-1.09084945,0.48254567,-0.53332021,0.41317655,-0.71848897,0.34495459,-0.59891307,0.46151954,-0.88371779,0.42054491,-2.42334516,0.4331271,-1.23879722,0.52279581,0.04527528,0.55214236,0.36027456,0.70099499,-0.51062623,0.63926905,-0.2023172,0.56147566,-0.64688205,0.52326619,-0.59677312,0.65312455,-0.47636494,0.50066085,-0.76496632,0.62046605,-0.29267179,0.64939046,-0.50635883,0.57589139,-0.41232466,-0.73895437,0.56635999,-0.16138159,0.39761438,-0.42245293,0.47212144,-0.45933068,0.51175181,-0.57012204,0.48928126,-0.30300995,0.44599177,-0.32333381,0.35336644,-0.30455845,0.24235402,-0.77752262,0.46540263,0.04369958,-0.69915394,0.63712956,0.38738738,0.64101077,0.3724731,0.80557105,-0.04987244,0.6947096,-0.04665662,0.73410053,-0.74634179,0.73043088,-0.08686181,0.69233919,-0.29090068,0.65374041,0.01560619,0.59453108,-0.80321502,0.52942349,0.42715197,0.55312745,-1.20574939,0.49726749,-0.57852014,0.4253608,-1.27987924,0.50123285,-0.39210006,0.60251306,-1.07858812,0.49641214,-1.16838905,0.63019483,-0.49546304,0.86614866,0.28754513,0.50215519,0.62054831,-0.62061655,0.4214677,-0.13046047,0.70735956,-0.79067471,0.5619555,-0.33208443,0.6115135,-0.7470867,0.62254474,-0.31067464,0.54568514,-1.18023285,0.59495945,-0.33549886,0.58313502,-1.06023879,0.44647151,0.16629508,0.45506738,-0.98766658,0.5327468,-0.47489285,0.52959588,-0.99446991,0.50457774,0.07315247,0.45716992,-0.80945079,0.30415052,-0.89124618,0.48281103,-0.82474057,0.5805022,-0.92403207,0.48412678,-0.9830138,0.19795889,-0.08937636,0.36558441,-0.6405734,0.44263121
Cer 42:2+_51,0.732538366,-0.818307651,0.334377449,-0.402113791,0.728868126,-1.099664988,0.615394315,-1.242841107,0.568362342,-0.934895081,0.198206486,-0.691819733,0.810378524,-0.399658435,0.452015118,-0.961293157,0.564547334,-1.208250945,0.432513737,0.051166903,0.774568907,0.394137983,0.931983154,-0.073958382,0.626241347,-0.753604994,0.40280414,-0.274946296,0.855585241,-0.436726127,0.61616522,-0.606167664,0.834705713,-0.564897012,0.363674407,-0.816166043,0.480922106,-0.597234251,0.379072897,-0.466843555,0.91102204,-0.900201814,-0.813065144,0.864161921,-0.136880119,0.816392313,-0.340046162,0.799539731,-0.658375147,0.715749504,-0.679548046,0.448533531,-0.763984648,0.238307455,-0.767289706,0.005130178,-0.147761676,0.751510763,-0.683128377,0.9822829,-0.32224072,-1.041693365,0.75860456,-0.495821241,0.247370002,-0.025275417,0.942025193,-0.564568116,0.386730054,-0.656798002,0.634386184,-0.930643714,0.473993711,-0.643073746,0.354738407,-0.59904613,0.225265212,-0.168828552,0.81639371,-0.820197162,0.779569076,0.177073507,0.741992463,-1.067641703,0.462015454,-0.44377556,0.478593118,-0.895191632,0.560447472,-0.703316605,0.605264126,-1.062008869,0.137058206,-0.959101213,0.650668423,-0.337736626,0.864551701,0.208508855,0.821121244,0.682829943,-0.487538243,0.533585745,-0.596670499,0.746214627,-0.827868234,0.346751207,-0.585871224,0.80560781,-0.839054202,0.754851841,-0.489486547,0.885884369,-1.065219264,0.8409946,-0.467181096,0.576699507,-0.942327208,0.63629227,-0.045354947,0.856009948,-0.697824823,0.565543494,-0.566223235,0.851706871,-0.882327172,0.821087109,-0.306498311,0.555128454,-0.731619165,0.003437174,-0.520816714,0.798658828,-0.509876454,0.878974681,-0.917955125,0.767076279,-0.817668373,-0.009754116,-0.445982098,0.340719995,-0.824015428,0.29847532
Cer 43:2+_307,0.61745451,-0.82197491,0.22555433,-0.42221114,0.55247569,-0.9886886,0.56888868,-1.3020618,0.42689414,-0.99348691,0.211805,-0.68851017,0.70915873,-0.53837666,0.40644138,-0.84533876,0.62298265,-2.10105188,0.39588727,0.34033481,0.9962836,0.50775636,0.92979322,0.01821973,0.47454804,-0.58190468,0.34396407,-0.23128105,0.77985283,-0.34325554,0.54313166,-0.6734204,0.63628719,-0.56554932,0.23321127,-0.73406265,0.42184262,-0.57851412,0.31783026,-0.43026655,0.91241984,-0.9430106,-0.83432044,0.79591847,-0.09690154,0.82328972,-0.33612133,0.70481745,-0.54097853,0.62634854,-0.63002212,0.36320732,-0.64026331,0.18334102,-0.6515613,0.05160198,-0.18854802,0.67276993,-0.7385835,0.89096621,-0.38872907,-0.97944553,0.6221968,-0.42166895,0.18321756,-0.08455394,0.76941332,-0.71097174,0.23307009,-0.44330773,0.58647507,-0.78905166,0.42565087,-0.48411329,0.31756105,-0.55418776,0.23126735,-0.04047287,0.94093509,-0.72023336,0.86880021,0.33189678,0.8192704,-0.92219525,0.53689674,-0.246072,0.55066183,-0.666644,0.5641004,-0.54485167,0.68010303,-1.95895476,0.23281472,-0.8758706,0.61524198,-0.34553093,0.80669748,0.37246169,0.99654828,0.49607163,-0.47821017,0.64454598,-0.59261202,0.6732289,-0.83677078,0.29408069,-0.49917889,0.7886608,-0.7422824,0.78308965,-0.38892821,1.01467829,-0.95155331,0.91070771,-0.35100083,0.54615301,-0.89181665,0.60761787,0.03503407,0.83860798,-0.57585288,0.53966513,-0.45277202,0.85258388,-0.79692835,0.81547007,-0.16522745,0.63628194,-0.68158006,0.11201035,-0.73067892,0.72486672,-0.6405168,0.78297049,-0.88424247,0.76832064,-0.76638997,0.03786296,-0.49099255,0.26537907,-0.86087076,0.23707939
